Strain	Lineage	Continent	Color
BdAus9	GPL		Red
BdBE1	GPL		Red
BdBE2	GPL		Red
BdBE3	GPL		Red
BdBE4	GPL		Red
BdBE5	GPL		Red
BdBE6	GPL		Red
Bd_JEL253	GPL		Red
BdNL1	GPL		Red
BdRTP5	GPL		Red
BdRTP6	GPL		Red
BEW2CH	GPL		Red
BLI1CH	GPL		Red
BR1CH	GPL		Red
Campana	GPL		Red
CCB1	CAPE	Europe	Green
CCB15	CAPE	Europe	Green
CH4CH	GPL		Red
CHAL3CH	GPL		Red
CJB4	GPL		Red
CJB5-2	GPL		Red
CJB7	GPL		Red
CLFT001	BRAZIL		Blue
CLFT023	GPL		Red
CLFT024	GPL		Red
CLFT024.02	BRAZIL		Blue
CLFT026	GPL		Red
CLFT061	BRAZIL		Blue
CLFT065	BRAZIL		Blue
CLFT067	BRAZIL		Blue
CLFT071	BRAZIL		Blue
CLFT136	BRAZIL		Blue
CLFT144	BRAZIL		Blue
CM21	GPL		Red
CM22	GPL		Red
CMT3	GPL		Red
CMT5	GPL		Red
CON2ACH	GPL		Red
CORN1	GPL		Red
CORN1B	GPL		Red
DB8.2	CAPE		Green
DB8.4	CAPE		Green
ETH2ET	GPL		Red
ETH4ET	GPL		Red
EV001	GPL		Red
FG184	GPL		Red
FG32	GPL		Red
HER3CH	GPL		Red
HR1	CAPE	Europe	Green
HR5	CAPE		Green
Hung2014	GPL		Red
Hung2039	GPL		Red
Hung2044	GPL		Red
HYATT	GPL		Red
IA042Highlypassaged	GPL		Red
IA042Lowpassage	GPL		Red
IA043cryo	GPL		Red
IA11	GPL		Red
IA12	GPL		Red
IA12No1	GPL		Red
IA12No10	GPL		Red
IA12No12	GPL		Red
IA12No3	GPL		Red
IA12No4	GPL		Red
IA12No5	GPL		Red
IA12No8	GPL		Red
IA12No9	GPL		Red
IA13No1	GPL		Red
IA13No12	GPL		Red
IA13No1348	GPL		Red
IA13No1360	GPL		Red
IA13No17	GPL		Red
IA13No6	GPL		Red
IA13No8	GPL		Red
JEL238	GPL		Red
JEL240	GPL		Red
JEL261	GPL		Red
JEL267	GPL		Red
JEL270	GPL	North America	Red
JEL271	GPL		Red
JEL274	GPL		Red
JEL275	GPL		Red
JEL289	GPL		Red
JEL310	GPL		Red
JEL359	GPL		Red
JEL408	GPL		Red
JEL410	GPL		Red
JEL412	GPL		Red
JEL413	GPL		Red
JEL423	GPL		Red
JEL423PA	GPL		Red
JEL427	GPL		Red
JEL427.P9	GPL		Red
JEL427.P17	GPL		Red
JEL427.P39	GPL		Red
JEL429	GPL		Red
JEL433	GPL		Red
JEL627	GPL		Red
KB108	BRAZIL	Asia	Blue
KB23	BRAZIL	Asia	Blue
KB347	ASIA	Asia	Red
KB45	BRAZIL	Asia	Blue
KB72	BRAZIL	Asia	Blue
KBO_317	ASIA	Asia	Red
KBO_319	ASIA	Asia	Red
KBO_327	ASIA	Asia	Red
KRBOOR_317	ASIA	Asia	Red
KRBOOR_323	ASIA	Asia	Red
KRBOOR_331	ASIA	Asia	Red
L2203	GPL		Red
LBAbercrom	GPL		Red
LFT00110	GPL		Red
LHURS11No1	GPL		Red
LHURS11No11	GPL		Red
LHURS11No7	GPL		Red
LHURS11No8	GPL		Red
Lhurs13No11	GPL		Red
Lhurs13No13	GPL		Red
Lhurs13No14	GPL		Red
Lhurs13No2	GPL		Red
Lhurs13No4	GPL		Red
LHURS8CH	GPL		Red
LM2	CAPE		Green
MADFR	GPL		Red
MAL05GB	GPL		Red
MC58	CAPE		Green
MC94	GPL		Red
MCT8	GPL		Red
MexMkt	GPL		Red
MG1ZA	GPL		Red
MG4ZA	GPL		Red
MLA1	GPL		Red
MODS27IT	GPL		Red
MODS28IT	GPL		Red
NBRC106979	GPL		Red
PENNEWT	GPL		Red
PENS.2.4	GPL		Red
PENS.9.2	GPL		Red
picosAo1	GPL		Red
PNP15150	GPL		Red
PNP15152	GPL		Red
PNP15153	GPL		Red
PNP15156	GPL		Red
PUITS11	GPL		Red
PUITS12No3	GPL		Red
PUITS12No4	GPL		Red
PUITS12No5	GPL		Red
PUITS12No7	GPL		Red
PUITS12No8	GPL		Red
RAS3CH	GPL		Red
RC4	GPL		Red
RC5.1	GPL		Red
RC5.1FR	GPL		Red
RioMaria	GPL		Red
SA.EC1	GPL		Red
SA-EC3	CAPE		Green
SA-EC5	CAPE		Green
SA.EC6	GPL		Red
SA.EC7	GPL		Red
SA.FS1	GPL		Red
SA.KN1	CAPE	Africa	Green
SA.KN3	CAPE	Africa	Green
SA.KN4	CAPE	Africa	Green
SA.KN5	CAPE	Africa	Green
SA.KN6	CAPE	Africa	Green
SA.NC1	GPL		Red
SA.NC10	GPL		Red
SA.NC2	GPL		Red
SA.NC3	GPL		Red
SA.NC4	GPL		Red
SA.NC5	GPL		Red
SA.NC6	GPL		Red
SA.NC7	GPL		Red
SA.NC8	GPL		Red
SA.NC9	GPL		Red
SA1dZA	GPL		Red
SA3e	CAPE	Africa	Green
SA4cZA	CAPE	Africa	Green
SA5c	CAPE	Africa	Green
SA6e	CAPE	Africa	Green
Sample_55882	GPL		Red
Sample_55883	BRAZIL		Red
Sample_55886	GPL		Red
CLFT044	BRAZIL		Blue
